Timestamp,Coor_X,Coor_Y,Altitud(m),Precisión(m),BSSID,Intensidad_señal(dBm),Etiqueta,Ubicación
20250520_150126,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:28,-44,Entrada Bloque A,Entrada Bloque A
20250520_150126,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:88,-53,Entrada Bloque A,Entrada Bloque A
20250520_150126,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:b9:18,-58,Entrada Bloque A,Entrada Bloque A
20250520_150126,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:e1:58,-59,Entrada Bloque A,Entrada Bloque A
20250520_150148,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:28,-31,Entrada Bloque A,Entrada Bloque A
20250520_150148,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:88,-47,Entrada Bloque A,Entrada Bloque A
20250520_150148,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:de:38,-54,Entrada Bloque A,Entrada Bloque A
20250520_150148,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:8c,-59,Entrada Bloque A,Entrada Bloque A
20250520_150226,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:28,-41,Entrada Bloque A,Entrada Bloque A
20250520_150226,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:88,-51,Entrada Bloque A,Entrada Bloque A
20250520_150226,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:8c,-57,Entrada Bloque A,Entrada Bloque A
20250520_150226,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:de:38,-60,Entrada Bloque A,Entrada Bloque A
20250520_150326,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:28,-35,Entrada Bloque A,Entrada Bloque A
20250520_150326,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:88,-57,Entrada Bloque A,Entrada Bloque A
20250520_150326,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:ce:b8,-65,Entrada Bloque A,Entrada Bloque A
20250520_150326,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:f6:28,-65,Entrada Bloque A,Entrada Bloque A
20250520_150409,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d1:da:28,-49,Entrada Bloque A,Entrada Bloque A
20250520_150409,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:88,-55,Entrada Bloque A,Entrada Bloque A
20250520_150409,-74.35520333333334,4.8289550000000006,2641.7,2.1,34:20:e3:d4:a5:8c,-57,Entrada Bloque A,Entrada Bloque A
20250520_150409,-74.35520333333334,4.8289550000000006,2641.7,2.1,dc:ae:eb:e4:de:38,-60,Entrada Bloque A,Entrada Bloque A
